Orders,Activity,Timestamp,Items,Customers,Packages,amount_of_items
990023,8,2019-05-22 20:08:26,"['880092', '880093']",15,,2
990024,8,2019-05-22 22:56:27,"['880096', '880094', '880095']",0,,3
990019,7,2019-05-23 08:42:25,['880077'],11,,1
990017,7,2019-05-23 08:44:21,['880072'],5,,1
990014,0,2019-05-23 09:09:23,"['880055', '880056', '880057', '880058', '880054']",2,,5
990016,3,2019-05-23 09:26:37,['880066'],1,,1
990025,8,2019-05-23 09:44:29,"['880101', '880097', '880098', '880102', '880100', '880099']",12,,6
990022,7,2019-05-23 10:03:08,['880090'],15,,1
990012,3,2019-05-23 10:19:26,['880045'],4,,1
990012,9,2019-05-23 10:27:00,['880046'],4,,1
990023,3,2019-05-23 10:29:24,['880093'],15,,1
990001,3,2019-05-23 10:40:50,['880001'],12,,1
990011,7,2019-05-23 10:45:43,['880040'],4,,1
990025,7,2019-05-23 10:52:26,['880098'],12,,1
990015,7,2019-05-23 10:53:08,['880063'],8,,1
990001,7,2019-05-23 11:00:25,['880003'],12,,1
990011,1,2019-05-23 11:00:25,"['880032', '880038', '880006', '880051', '880040', '880008', '880033', '880043', '880048', '880007', '880030', '880047', '880031', '880049', '880005', '880041']",4,660001,16
990002,1,2019-05-23 11:00:25,"['880032', '880038', '880006', '880051', '880040', '880008', '880033', '880043', '880048', '880007', '880030', '880047', '880031', '880049', '880005', '880041']",4,660001,16
990013,1,2019-05-23 11:00:25,"['880032', '880038', '880006', '880051', '880040', '880008', '880033', '880043', '880048', '880007', '880030', '880047', '880031', '880049', '880005', '880041']",4,660001,16
990012,1,2019-05-23 11:00:25,"['880032', '880038', '880006', '880051', '880040', '880008', '880033', '880043', '880048', '880007', '880030', '880047', '880031', '880049', '880005', '880041']",4,660001,16
990009,1,2019-05-23 11:00:25,"['880032', '880038', '880006', '880051', '880040', '880008', '880033', '880043', '880048', '880007', '880030', '880047', '880031', '880049', '880005', '880041']",4,660001,16
990022,3,2019-05-23 11:07:19,['880091'],15,,1
990015,3,2019-05-23 11:08:24,['880062'],8,,1
990022,0,2019-05-23 11:23:05,"['880090', '880089', '880091', '880088']",15,,4
990001,5,2019-05-23 11:27:55,"['880001', '880004', '880003', '880002']",12,,4
990026,8,2019-05-23 11:48:45,"['880106', '880107', '880105', '880103', '880104', '880108', '880109']",5,,7
990026,7,2019-05-23 11:55:58,['880106'],5,,1
990024,7,2019-05-23 11:57:31,['880094'],0,,1
990016,0,2019-05-23 11:58:56,"['880065', '880066', '880068', '880067']",1,,4
990013,9,2019-05-23 12:09:19,['880050'],4,,1
990022,9,2019-05-23 12:13:24,['880091'],15,,1
990025,7,2019-05-23 12:15:16,['880099'],12,,1
990015,9,2019-05-23 12:33:06,['880062'],8,,1
990014,7,2019-05-23 12:53:00,['880056'],2,,1
990024,0,2019-05-23 12:55:00,"['880096', '880094', '880095']",0,,3
990020,0,2019-05-23 13:04:43,"['880081', '880080', '880079']",6,,3
990020,7,2019-05-23 13:32:53,['880080'],6,,1
990011,7,2019-05-23 13:39:57,['880039'],4,,1
990027,8,2019-05-23 13:57:18,"['880110', '880111']",2,,2
990011,10,2019-05-23 14:22:59,"['880032', '880038', '880006', '880051', '880040', '880008', '880033', '880043', '880048', '880007', '880030', '880047', '880031', '880049', '880005', '880041']",4,660001,16
990002,10,2019-05-23 14:22:59,"['880032', '880038', '880006', '880051', '880040', '880008', '880033', '880043', '880048', '880007', '880030', '880047', '880031', '880049', '880005', '880041']",4,660001,16
990013,10,2019-05-23 14:22:59,"['880032', '880038', '880006', '880051', '880040', '880008', '880033', '880043', '880048', '880007', '880030', '880047', '880031', '880049', '880005', '880041']",4,660001,16
990012,10,2019-05-23 14:22:59,"['880032', '880038', '880006', '880051', '880040', '880008', '880033', '880043', '880048', '880007', '880030', '880047', '880031', '880049', '880005', '880041']",4,660001,16
990009,10,2019-05-23 14:22:59,"['880032', '880038', '880006', '880051', '880040', '880008', '880033', '880043', '880048', '880007', '880030', '880047', '880031', '880049', '880005', '880041']",4,660001,16
990011,5,2019-05-23 14:24:31,"['880038', '880039', '880037', '880040']",4,,4
990011,2,2019-05-23 14:48:41,"['880032', '880038', '880006', '880051', '880040', '880008', '880033', '880043', '880048', '880007', '880030', '880047', '880031', '880049', '880005', '880041']",4,660001,16
990002,2,2019-05-23 14:48:41,"['880032', '880038', '880006', '880051', '880040', '880008', '880033', '880043', '880048', '880007', '880030', '880047', '880031', '880049', '880005', '880041']",4,660001,16
990013,2,2019-05-23 14:48:41,"['880032', '880038', '880006', '880051', '880040', '880008', '880033', '880043', '880048', '880007', '880030', '880047', '880031', '880049', '880005', '880041']",4,660001,16
990012,2,2019-05-23 14:48:41,"['880032', '880038', '880006', '880051', '880040', '880008', '880033', '880043', '880048', '880007', '880030', '880047', '880031', '880049', '880005', '880041']",4,660001,16
990009,2,2019-05-23 14:48:41,"['880032', '880038', '880006', '880051', '880040', '880008', '880033', '880043', '880048', '880007', '880030', '880047', '880031', '880049', '880005', '880041']",4,660001,16
990026,7,2019-05-23 14:49:52,['880103'],5,,1
990027,7,2019-05-23 14:58:15,['880110'],2,,1
990025,7,2019-05-23 15:00:45,['880101'],12,,1
990018,5,2019-05-23 15:19:51,"['880074', '880076', '880075']",2,,3
990018,9,2019-05-23 15:28:01,['880074'],2,,1
990016,7,2019-05-23 15:34:32,['880065'],1,,1
990024,3,2019-05-23 15:38:19,['880096'],0,,1
990009,7,2019-05-23 16:07:14,['880034'],4,,1
990020,3,2019-05-23 16:07:36,['880079'],6,,1
990028,8,2019-05-23 16:14:23,"['880114', '880112', '880113']",11,,3
990019,7,2019-05-23 16:16:20,['880078'],11,,1
990027,0,2019-05-23 16:27:55,"['880110', '880111']",2,,2
990026,7,2019-05-23 16:36:27,['880109'],5,,1
990018,7,2019-05-23 16:46:01,['880075'],2,,1
990024,9,2019-05-23 16:56:29,['880096'],0,,1
990021,7,2019-05-23 17:01:33,['880087'],13,,1
990012,7,2019-05-23 17:26:26,['880042'],4,,1
990025,1,2019-05-23 17:26:26,"['880101', '880098', '880003', '880002', '880099']",12,660002,5
990001,1,2019-05-23 17:26:26,"['880101', '880098', '880003', '880002', '880099']",12,660002,5
990025,10,2019-05-23 17:43:12,"['880101', '880098', '880003', '880002', '880099']",12,660002,5
990001,10,2019-05-23 17:43:12,"['880101', '880098', '880003', '880002', '880099']",12,660002,5
990029,8,2019-05-23 17:48:34,"['880115', '880116', '880117']",9,,3
990009,9,2019-05-23 18:54:48,['880029'],4,,1
990011,4,2019-05-23 19:14:00,"['880032', '880038', '880006', '880051', '880040', '880008', '880033', '880043', '880048', '880007', '880030', '880047', '880031', '880049', '880005', '880041']",4,660001,16
990002,4,2019-05-23 19:14:00,"['880032', '880038', '880006', '880051', '880040', '880008', '880033', '880043', '880048', '880007', '880030', '880047', '880031', '880049', '880005', '880041']",4,660001,16
990013,4,2019-05-23 19:14:00,"['880032', '880038', '880006', '880051', '880040', '880008', '880033', '880043', '880048', '880007', '880030', '880047', '880031', '880049', '880005', '880041']",4,660001,16
990012,4,2019-05-23 19:14:00,"['880032', '880038', '880006', '880051', '880040', '880008', '880033', '880043', '880048', '880007', '880030', '880047', '880031', '880049', '880005', '880041']",4,660001,16
990009,4,2019-05-23 19:14:00,"['880032', '880038', '880006', '880051', '880040', '880008', '880033', '880043', '880048', '880007', '880030', '880047', '880031', '880049', '880005', '880041']",4,660001,16
990025,7,2019-05-23 19:15:44,['880100'],12,,1
990030,8,2019-05-23 20:05:16,"['880121', '880118', '880119', '880122', '880120']",16,,5
990021,0,2019-05-23 22:00:00,"['880082', '880087', '880086', '880084', '880085', '880083']",13,,6
990031,8,2019-05-23 22:50:07,['880123'],15,,1
990028,0,2019-05-24 08:27:33,"['880114', '880112', '880113']",11,,3
990020,9,2019-05-24 09:21:25,['880079'],6,,1
990032,8,2019-05-24 09:31:49,"['880124', '880125', '880127', '880126']",6,,4
990030,7,2019-05-24 09:32:57,['880120'],16,,1
990030,0,2019-05-24 09:35:41,"['880121', '880118', '880119', '880122', '880120']",16,,5
990014,5,2019-05-24 09:37:42,"['880055', '880056', '880057', '880058', '880054']",2,,5
990021,7,2019-05-24 09:41:01,['880084'],13,,1
990024,7,2019-05-24 10:09:07,['880095'],0,,1
990017,7,2019-05-24 10:49:32,['880073'],5,,1
990007,1,2019-05-24 10:49:32,"['880106', '880070', '880103', '880069', '880073', '880022', '880020', '880109', '880014', '880071', '880072', '880013']",5,660003,12
990026,1,2019-05-24 10:49:32,"['880106', '880070', '880103', '880069', '880073', '880022', '880020', '880109', '880014', '880071', '880072', '880013']",5,660003,12
990004,1,2019-05-24 10:49:32,"['880106', '880070', '880103', '880069', '880073', '880022', '880020', '880109', '880014', '880071', '880072', '880013']",5,660003,12
990017,1,2019-05-24 10:49:32,"['880106', '880070', '880103', '880069', '880073', '880022', '880020', '880109', '880014', '880071', '880072', '880013']",5,660003,12
990026,3,2019-05-24 10:55:36,['880108'],5,,1
990023,7,2019-05-24 11:05:13,['880092'],15,,1
990033,8,2019-05-24 11:23:25,"['880129', '880128']",16,,2
990033,7,2019-05-24 11:38:57,['880129'],16,,1
990033,0,2019-05-24 11:59:26,"['880129', '880128']",16,,2
990013,9,2019-05-24 12:01:37,['880053'],4,,1
990029,3,2019-05-24 12:12:36,['880116'],9,,1
990025,3,2019-05-24 12:33:21,['880102'],12,,1
990031,0,2019-05-24 12:33:34,['880123'],15,,1
990033,7,2019-05-24 12:41:02,['880128'],16,,1
990026,7,2019-05-24 13:02:38,['880107'],5,,1
990034,8,2019-05-24 13:06:38,"['880134', '880133', '880130', '880131', '880132']",13,,5
990022,7,2019-05-24 13:23:15,['880088'],15,,1
990032,0,2019-05-24 13:40:11,"['880124', '880125', '880127', '880126']",6,,4
990032,7,2019-05-24 13:58:11,['880125'],6,,1
990028,7,2019-05-24 13:58:15,['880113'],11,,1
990018,7,2019-05-24 14:07:48,['880074'],2,,1
990020,7,2019-05-24 14:22:07,['880081'],6,,1
990035,8,2019-05-24 14:33:03,"['880137', '880136', '880138', '880135']",3,,4
990021,3,2019-05-24 14:39:58,['880082'],13,,1
990030,7,2019-05-24 14:54:46,['880122'],16,,1
990023,0,2019-05-24 14:55:25,"['880092', '880093']",15,,2
990030,3,2019-05-24 15:17:53,['880119'],16,,1
990034,7,2019-05-24 15:37:55,['880134'],13,,1
990015,7,2019-05-24 15:49:44,['880062'],8,,1
990028,1,2019-05-24 15:49:44,"['880026', '880078', '880024', '880028', '880010', '880113', '880012', '880011', '880023', '880025', '880077']",11,660004,11
990019,1,2019-05-24 15:49:44,"['880026', '880078', '880024', '880028', '880010', '880113', '880012', '880011', '880023', '880025', '880077']",11,660004,11
990003,1,2019-05-24 15:49:44,"['880026', '880078', '880024', '880028', '880010', '880113', '880012', '880011', '880023', '880025', '880077']",11,660004,11
990008,1,2019-05-24 15:49:44,"['880026', '880078', '880024', '880028', '880010', '880113', '880012', '880011', '880023', '880025', '880077']",11,660004,11
990034,3,2019-05-24 15:52:26,['880130'],13,,1
990025,4,2019-05-24 15:54:44,"['880101', '880098', '880003', '880002', '880099']",12,660002,5
990001,4,2019-05-24 15:54:44,"['880101', '880098', '880003', '880002', '880099']",12,660002,5
990025,9,2019-05-24 15:56:27,['880102'],12,,1
990026,9,2019-05-24 15:56:31,['880108'],5,,1
990036,8,2019-05-24 16:25:54,"['880140', '880142', '880143', '880144', '880141', '880139']",4,,6
990026,0,2019-05-24 16:32:09,"['880106', '880107', '880105', '880103', '880104', '880108', '880109']",5,,7
990032,3,2019-05-24 16:43:54,['880126'],6,,1
990025,0,2019-05-24 17:01:23,"['880101', '880097', '880098', '880102', '880100', '880099']",12,,6
990033,5,2019-05-24 17:07:14,"['880129', '880128']",16,,2
990034,0,2019-05-24 17:21:57,"['880134', '880133', '880130', '880131', '880132']",13,,5
990026,7,2019-05-24 17:25:09,['880105'],5,,1
990003,7,2019-05-24 17:26:40,['880009'],11,,1
990026,7,2019-05-24 17:39:53,['880104'],5,,1
990021,9,2019-05-24 17:48:27,['880082'],13,,1
990037,8,2019-05-24 18:11:35,['880145'],10,,1
990028,7,2019-05-24 18:15:43,['880112'],11,,1
990036,7,2019-05-24 18:41:54,['880140'],4,,1
990037,0,2019-05-24 20:04:02,['880145'],10,,1
990038,8,2019-05-24 20:14:20,['880146'],2,,1
990036,0,2019-05-24 20:19:52,"['880140', '880142', '880143', '880144', '880141', '880139']",4,,6
990035,3,2019-05-24 22:21:22,['880136'],3,,1
990039,8,2019-05-24 23:08:15,['880147'],6,,1
990016,1,2019-05-25 01:00:00,"['880065', '880018', '880068', '880067', '880019', '880017']",1,660005,6
990006,1,2019-05-25 01:00:00,"['880065', '880018', '880068', '880067', '880019', '880017']",1,660005,6
990040,8,2019-05-25 21:24:33,"['880148', '880149']",15,,2
990041,8,2019-05-26 21:36:54,"['880155', '880156', '880151', '880153', '880154', '880152', '880150']",0,,7
990039,0,2019-05-27 08:38:54,['880147'],6,,1
990036,7,2019-05-27 08:50:47,['880139'],4,,1
990035,9,2019-05-27 08:56:35,['880136'],3,,1
990023,5,2019-05-27 09:22:27,"['880092', '880093']",15,,2
990042,8,2019-05-27 09:30:58,"['880158', '880159', '880163', '880157', '880161', '880162', '880160']",14,,7
990012,9,2019-05-27 09:35:00,['880045'],4,,1
990038,7,2019-05-27 09:35:18,['880146'],2,,1
990042,7,2019-05-27 09:46:50,['880161'],14,,1
990028,10,2019-05-27 09:50:01,"['880026', '880078', '880024', '880028', '880010', '880113', '880012', '880011', '880023', '880025', '880077']",11,660004,11
990019,10,2019-05-27 09:50:01,"['880026', '880078', '880024', '880028', '880010', '880113', '880012', '880011', '880023', '880025', '880077']",11,660004,11
990003,10,2019-05-27 09:50:01,"['880026', '880078', '880024', '880028', '880010', '880113', '880012', '880011', '880023', '880025', '880077']",11,660004,11
990008,10,2019-05-27 09:50:01,"['880026', '880078', '880024', '880028', '880010', '880113', '880012', '880011', '880023', '880025', '880077']",11,660004,11
990007,7,2019-05-27 09:53:59,['880021'],5,,1
990042,7,2019-05-27 09:58:28,['880158'],14,,1
990032,3,2019-05-27 10:09:08,['880124'],6,,1
990030,9,2019-05-27 10:17:35,['880119'],16,,1
990021,7,2019-05-27 10:25:30,['880083'],13,,1
990030,7,2019-05-27 10:29:17,['880121'],16,,1
990008,7,2019-05-27 10:33:28,['880027'],11,,1
990007,10,2019-05-27 10:40:13,"['880106', '880070', '880103', '880069', '880073', '880022', '880020', '880109', '880014', '880071', '880072', '880013']",5,660003,12
990026,10,2019-05-27 10:40:13,"['880106', '880070', '880103', '880069', '880073', '880022', '880020', '880109', '880014', '880071', '880072', '880013']",5,660003,12
990004,10,2019-05-27 10:40:13,"['880106', '880070', '880103', '880069', '880073', '880022', '880020', '880109', '880014', '880071', '880072', '880013']",5,660003,12
990017,10,2019-05-27 10:40:13,"['880106', '880070', '880103', '880069', '880073', '880022', '880020', '880109', '880014', '880071', '880072', '880013']",5,660003,12
990029,7,2019-05-27 10:52:57,['880115'],9,,1
990042,3,2019-05-27 11:03:53,['880157'],14,,1
990034,7,2019-05-27 11:16:53,['880131'],13,,1
990042,7,2019-05-27 11:20:54,['880162'],14,,1
990043,8,2019-05-27 11:21:43,"['880164', '880167', '880165', '880166']",16,,4
990016,9,2019-05-27 11:36:36,['880066'],1,,1
990030,7,2019-05-27 11:49:13,['880118'],16,,1
990033,1,2019-05-27 11:49:13,"['880118', '880121', '880129', '880036', '880120', '880122', '880128']",16,660006,7
990010,1,2019-05-27 11:49:13,"['880118', '880121', '880129', '880036', '880120', '880122', '880128']",16,660006,7
990030,1,2019-05-27 11:49:13,"['880118', '880121', '880129', '880036', '880120', '880122', '880128']",16,660006,7
990041,0,2019-05-27 12:03:03,"['880155', '880156', '880151', '880153', '880154', '880152', '880150']",0,,7
990021,5,2019-05-27 12:19:36,"['880082', '880087', '880086', '880084', '880085', '880083']",13,,6
990021,7,2019-05-27 12:21:13,['880085'],13,,1
990035,7,2019-05-27 12:21:51,['880137'],3,,1
990028,4,2019-05-27 12:39:25,"['880026', '880078', '880024', '880028', '880010', '880113', '880012', '880011', '880023', '880025', '880077']",11,660004,11
990019,4,2019-05-27 12:39:25,"['880026', '880078', '880024', '880028', '880010', '880113', '880012', '880011', '880023', '880025', '880077']",11,660004,11
990003,4,2019-05-27 12:39:25,"['880026', '880078', '880024', '880028', '880010', '880113', '880012', '880011', '880023', '880025', '880077']",11,660004,11
990008,4,2019-05-27 12:39:25,"['880026', '880078', '880024', '880028', '880010', '880113', '880012', '880011', '880023', '880025', '880077']",11,660004,11
990044,8,2019-05-27 13:03:14,"['880171', '880169', '880168', '880170', '880172', '880174', '880173']",8,,7
990034,7,2019-05-27 13:12:53,['880133'],13,,1
990042,9,2019-05-27 13:34:25,['880157'],14,,1
990041,7,2019-05-27 13:40:28,['880150'],0,,1
990013,7,2019-05-27 14:01:57,['880052'],4,,1
990031,7,2019-05-27 14:14:58,['880123'],15,,1
990040,0,2019-05-27 14:16:09,"['880148', '880149']",15,,2
990045,8,2019-05-27 14:26:15,"['880176', '880175', '880177']",13,,3
990028,3,2019-05-27 14:35:23,['880114'],11,,1
990007,2,2019-05-27 14:56:21,"['880106', '880070', '880103', '880069', '880073', '880022', '880020', '880109', '880014', '880071', '880072', '880013']",5,660003,12
990026,2,2019-05-27 14:56:21,"['880106', '880070', '880103', '880069', '880073', '880022', '880020', '880109', '880014', '880071', '880072', '880013']",5,660003,12
990004,2,2019-05-27 14:56:21,"['880106', '880070', '880103', '880069', '880073', '880022', '880020', '880109', '880014', '880071', '880072', '880013']",5,660003,12
990017,2,2019-05-27 14:56:21,"['880106', '880070', '880103', '880069', '880073', '880022', '880020', '880109', '880014', '880071', '880072', '880013']",5,660003,12
990039,3,2019-05-27 15:09:10,['880147'],6,,1
990016,7,2019-05-27 15:11:01,['880066'],1,,1
990015,1,2019-05-27 15:11:01,"['880062', '880064', '880059', '880063']",8,660007,4
990041,7,2019-05-27 15:19:06,['880154'],0,,1
990044,7,2019-05-27 15:25:40,['880170'],8,,1
990022,7,2019-05-27 15:29:21,['880091'],15,,1
990046,8,2019-05-27 16:12:18,"['880179', '880180', '880178']",4,,3
990028,9,2019-05-27 16:13:44,['880114'],11,,1
990029,7,2019-05-27 16:26:44,['880117'],9,,1
990018,1,2019-05-27 16:26:44,"['880146', '880075', '880110', '880056', '880058', '880074', '880076', '880057', '880054']",2,660008,9
990038,1,2019-05-27 16:26:44,"['880146', '880075', '880110', '880056', '880058', '880074', '880076', '880057', '880054']",2,660008,9
990014,1,2019-05-27 16:26:44,"['880146', '880075', '880110', '880056', '880058', '880074', '880076', '880057', '880054']",2,660008,9
990027,1,2019-05-27 16:26:44,"['880146', '880075', '880110', '880056', '880058', '880074', '880076', '880057', '880054']",2,660008,9
990043,7,2019-05-27 16:28:55,['880165'],16,,1
990045,0,2019-05-27 16:50:41,"['880176', '880175', '880177']",13,,3
990021,7,2019-05-27 17:00:36,['880082'],13,,1
990035,7,2019-05-27 17:03:48,['880138'],3,,1
990041,3,2019-05-27 17:35:34,['880155'],0,,1
990047,8,2019-05-27 17:44:23,"['880181', '880184', '880182', '880183']",16,,4
990042,0,2019-05-27 17:54:51,"['880158', '880159', '880163', '880157', '880161', '880162', '880160']",14,,7
990001,9,2019-05-27 17:54:52,['880001'],12,,1
990046,3,2019-05-27 17:59:56,['880180'],4,,1
990018,10,2019-05-27 18:57:39,"['880146', '880075', '880110', '880056', '880058', '880074', '880076', '880057', '880054']",2,660008,9
990038,10,2019-05-27 18:57:39,"['880146', '880075', '880110', '880056', '880058', '880074', '880076', '880057', '880054']",2,660008,9
990014,10,2019-05-27 18:57:39,"['880146', '880075', '880110', '880056', '880058', '880074', '880076', '880057', '880054']",2,660008,9
990027,10,2019-05-27 18:57:39,"['880146', '880075', '880110', '880056', '880058', '880074', '880076', '880057', '880054']",2,660008,9
990048,8,2019-05-27 19:52:44,"['880189', '880190', '880188', '880186', '880187', '880185']",1,,6
990016,10,2019-05-27 20:29:32,"['880065', '880018', '880068', '880067', '880019', '880017']",1,660005,6
990006,10,2019-05-27 20:29:32,"['880065', '880018', '880068', '880067', '880019', '880017']",1,660005,6
990049,8,2019-05-27 23:25:03,"['880193', '880194', '880192', '880191']",10,,4
990044,7,2019-05-28 08:15:17,['880172'],8,,1
990028,7,2019-05-28 08:29:06,['880114'],11,,1
990016,5,2019-05-28 09:13:13,"['880065', '880066', '880068', '880067']",1,,4
990040,7,2019-05-28 09:17:12,['880148'],15,,1
990050,8,2019-05-28 09:21:38,"['880198', '880197', '880196', '880195']",3,,4
990036,7,2019-05-28 09:26:56,['880143'],4,,1
990046,9,2019-05-28 09:35:37,['880180'],4,,1
990047,7,2019-05-28 09:38:13,['880183'],16,,1
