Orders,Activity,Timestamp
990015,3,2019-05-23 11:08:24
990022,0,2019-05-23 11:23:05
990001,5,2019-05-23 11:27:55
990026,8,2019-05-23 11:48:45
990026,7,2019-05-23 11:55:58
990024,7,2019-05-23 11:57:31
990016,0,2019-05-23 11:58:56
990013,9,2019-05-23 12:09:19
990022,9,2019-05-23 12:13:24
990025,7,2019-05-23 12:15:16
990015,9,2019-05-23 12:33:06
990014,7,2019-05-23 12:53:00
990024,0,2019-05-23 12:55:00
990020,0,2019-05-23 13:04:43
990020,7,2019-05-23 13:32:53
990011,7,2019-05-23 13:39:57
990027,8,2019-05-23 13:57:18
990011,10,2019-05-23 14:22:59
990002,10,2019-05-23 14:22:59
990013,10,2019-05-23 14:22:59
990012,10,2019-05-23 14:22:59
990009,10,2019-05-23 14:22:59
990011,5,2019-05-23 14:24:31
990011,2,2019-05-23 14:48:41
990002,2,2019-05-23 14:48:41
990013,2,2019-05-23 14:48:41
990012,2,2019-05-23 14:48:41
990009,2,2019-05-23 14:48:41
990026,7,2019-05-23 14:49:52
990027,7,2019-05-23 14:58:15
990025,7,2019-05-23 15:00:45
990018,5,2019-05-23 15:19:51
990018,9,2019-05-23 15:28:01
990016,7,2019-05-23 15:34:32
990024,3,2019-05-23 15:38:19
990009,7,2019-05-23 16:07:14
990020,3,2019-05-23 16:07:36
990028,8,2019-05-23 16:14:23
990019,7,2019-05-23 16:16:20
990027,0,2019-05-23 16:27:55
990026,7,2019-05-23 16:36:27
990018,7,2019-05-23 16:46:01
990024,9,2019-05-23 16:56:29
990021,7,2019-05-23 17:01:33
990012,7,2019-05-23 17:26:26
990025,1,2019-05-23 17:26:26
990001,1,2019-05-23 17:26:26
990025,10,2019-05-23 17:43:12
990001,10,2019-05-23 17:43:12
990029,8,2019-05-23 17:48:34
990009,9,2019-05-23 18:54:48
990011,4,2019-05-23 19:14:00
990002,4,2019-05-23 19:14:00
990013,4,2019-05-23 19:14:00
990012,4,2019-05-23 19:14:00
990009,4,2019-05-23 19:14:00
990025,7,2019-05-23 19:15:44
990030,8,2019-05-23 20:05:16
990021,0,2019-05-23 22:00:00
990031,8,2019-05-23 22:50:07
990028,0,2019-05-24 08:27:33
990020,9,2019-05-24 09:21:25
990032,8,2019-05-24 09:31:49
990030,7,2019-05-24 09:32:57
990030,0,2019-05-24 09:35:41
990014,5,2019-05-24 09:37:42
990021,7,2019-05-24 09:41:01
990024,7,2019-05-24 10:09:07
990017,7,2019-05-24 10:49:32
990007,1,2019-05-24 10:49:32
990026,1,2019-05-24 10:49:32
990004,1,2019-05-24 10:49:32
990017,1,2019-05-24 10:49:32
990026,3,2019-05-24 10:55:36
990023,7,2019-05-24 11:05:13
990033,8,2019-05-24 11:23:25
990033,7,2019-05-24 11:38:57
990033,0,2019-05-24 11:59:26
990013,9,2019-05-24 12:01:37
990029,3,2019-05-24 12:12:36
990025,3,2019-05-24 12:33:21
990031,0,2019-05-24 12:33:34
990033,7,2019-05-24 12:41:02
990026,7,2019-05-24 13:02:38
990034,8,2019-05-24 13:06:38
990022,7,2019-05-24 13:23:15
990032,0,2019-05-24 13:40:11
990032,7,2019-05-24 13:58:11
990028,7,2019-05-24 13:58:15
990018,7,2019-05-24 14:07:48
990020,7,2019-05-24 14:22:07
990035,8,2019-05-24 14:33:03
990021,3,2019-05-24 14:39:58
990030,7,2019-05-24 14:54:46
990023,0,2019-05-24 14:55:25
990030,3,2019-05-24 15:17:53
990034,7,2019-05-24 15:37:55
990015,7,2019-05-24 15:49:44
990028,1,2019-05-24 15:49:44
990019,1,2019-05-24 15:49:44
990003,1,2019-05-24 15:49:44
990008,1,2019-05-24 15:49:44
990034,3,2019-05-24 15:52:26
990025,4,2019-05-24 15:54:44
990001,4,2019-05-24 15:54:44
990025,9,2019-05-24 15:56:27
990026,9,2019-05-24 15:56:31
990036,8,2019-05-24 16:25:54
990026,0,2019-05-24 16:32:09
990032,3,2019-05-24 16:43:54
990025,0,2019-05-24 17:01:23
990033,5,2019-05-24 17:07:14
990034,0,2019-05-24 17:21:57
990026,7,2019-05-24 17:25:09
990003,7,2019-05-24 17:26:40
990026,7,2019-05-24 17:39:53
990021,9,2019-05-24 17:48:27
990037,8,2019-05-24 18:11:35
990028,7,2019-05-24 18:15:43
990036,7,2019-05-24 18:41:54
990037,0,2019-05-24 20:04:02
990038,8,2019-05-24 20:14:20
990036,0,2019-05-24 20:19:52
990035,3,2019-05-24 22:21:22
990039,8,2019-05-24 23:08:15
990016,1,2019-05-25 01:00:00
990006,1,2019-05-25 01:00:00
990040,8,2019-05-25 21:24:33
990041,8,2019-05-26 21:36:54
990039,0,2019-05-27 08:38:54
990036,7,2019-05-27 08:50:47
990035,9,2019-05-27 08:56:35
990023,5,2019-05-27 09:22:27
990042,8,2019-05-27 09:30:58
990012,9,2019-05-27 09:35:00
990038,7,2019-05-27 09:35:18
990042,7,2019-05-27 09:46:50
990028,10,2019-05-27 09:50:01
990019,10,2019-05-27 09:50:01
990003,10,2019-05-27 09:50:01
990008,10,2019-05-27 09:50:01
990007,7,2019-05-27 09:53:59
990042,7,2019-05-27 09:58:28
990032,3,2019-05-27 10:09:08
990030,9,2019-05-27 10:17:35
990021,7,2019-05-27 10:25:30
990030,7,2019-05-27 10:29:17
990008,7,2019-05-27 10:33:28
990007,10,2019-05-27 10:40:13
990026,10,2019-05-27 10:40:13
990004,10,2019-05-27 10:40:13
990017,10,2019-05-27 10:40:13
990029,7,2019-05-27 10:52:57
990042,3,2019-05-27 11:03:53
990034,7,2019-05-27 11:16:53
990042,7,2019-05-27 11:20:54
990043,8,2019-05-27 11:21:43
990016,9,2019-05-27 11:36:36
990030,7,2019-05-27 11:49:13
990033,1,2019-05-27 11:49:13
990010,1,2019-05-27 11:49:13
990030,1,2019-05-27 11:49:13
990041,0,2019-05-27 12:03:03
990021,5,2019-05-27 12:19:36
990021,7,2019-05-27 12:21:13
990035,7,2019-05-27 12:21:51
990028,4,2019-05-27 12:39:25
990019,4,2019-05-27 12:39:25
990003,4,2019-05-27 12:39:25
990008,4,2019-05-27 12:39:25
990044,8,2019-05-27 13:03:14
990034,7,2019-05-27 13:12:53
990042,9,2019-05-27 13:34:25
990041,7,2019-05-27 13:40:28
990013,7,2019-05-27 14:01:57
990031,7,2019-05-27 14:14:58
990040,0,2019-05-27 14:16:09
990045,8,2019-05-27 14:26:15
990028,3,2019-05-27 14:35:23
990007,2,2019-05-27 14:56:21
990026,2,2019-05-27 14:56:21
990004,2,2019-05-27 14:56:21
990017,2,2019-05-27 14:56:21
990039,3,2019-05-27 15:09:10
990016,7,2019-05-27 15:11:01
990015,1,2019-05-27 15:11:01
990041,7,2019-05-27 15:19:06
990044,7,2019-05-27 15:25:40
990022,7,2019-05-27 15:29:21
990046,8,2019-05-27 16:12:18
990028,9,2019-05-27 16:13:44
990029,7,2019-05-27 16:26:44
990018,1,2019-05-27 16:26:44
990038,1,2019-05-27 16:26:44
990014,1,2019-05-27 16:26:44
990027,1,2019-05-27 16:26:44
990043,7,2019-05-27 16:28:55
990045,0,2019-05-27 16:50:41
990021,7,2019-05-27 17:00:36
990035,7,2019-05-27 17:03:48
990041,3,2019-05-27 17:35:34
990047,8,2019-05-27 17:44:23
990042,0,2019-05-27 17:54:51
990001,9,2019-05-27 17:54:52
990046,3,2019-05-27 17:59:56
990018,10,2019-05-27 18:57:39
990038,10,2019-05-27 18:57:39
990014,10,2019-05-27 18:57:39
990027,10,2019-05-27 18:57:39
990048,8,2019-05-27 19:52:44
990016,10,2019-05-27 20:29:32
990006,10,2019-05-27 20:29:32
990049,8,2019-05-27 23:25:03
990044,7,2019-05-28 08:15:17
990028,7,2019-05-28 08:29:06
990016,5,2019-05-28 09:13:13
990040,7,2019-05-28 09:17:12
990050,8,2019-05-28 09:21:38
990036,7,2019-05-28 09:26:56
990046,9,2019-05-28 09:35:37
990047,7,2019-05-28 09:38:13
990015,7,2019-05-28 09:49:33
990005,1,2019-05-28 09:49:33
990042,1,2019-05-28 09:49:33
990041,7,2019-05-28 10:05:00
990049,7,2019-05-28 10:19:03
990046,7,2019-05-28 10:19:23
990035,0,2019-05-28 10:25:46
990023,9,2019-05-28 10:47:51
990042,7,2019-05-28 10:54:25
990051,8,2019-05-28 11:03:03
990015,10,2019-05-28 11:03:28
990022,7,2019-05-28 11:12:33
990031,1,2019-05-28 11:12:33
990040,1,2019-05-28 11:12:33
990023,1,2019-05-28 11:12:33
990022,1,2019-05-28 11:12:33
990046,3,2019-05-28 11:26:38
990035,5,2019-05-28 11:34:27
990044,3,2019-05-28 11:40:33
990044,3,2019-05-28 11:41:41
990048,3,2019-05-28 11:49:20
990043,0,2019-05-28 11:50:36
990049,7,2019-05-28 12:04:14
990046,7,2019-05-28 12:05:52
990012,7,2019-05-28 12:19:52
990052,8,2019-05-28 12:25:54
990033,10,2019-05-28 12:29:53
990010,10,2019-05-28 12:29:53
990030,10,2019-05-28 12:29:53
990007,4,2019-05-28 12:42:06
990026,4,2019-05-28 12:42:06
990004,4,2019-05-28 12:42:06
990017,4,2019-05-28 12:42:06
990024,7,2019-05-28 13:31:07
990052,3,2019-05-28 13:54:25
990032,9,2019-05-28 13:58:57
990053,8,2019-05-28 14:11:35
990053,7,2019-05-28 14:12:05
990025,7,2019-05-28 14:20:52
990042,7,2019-05-28 14:22:11
990041,1,2019-05-28 14:22:11
990024,1,2019-05-28 14:22:11
990020,7,2019-05-28 14:51:35
990048,7,2019-05-28 14:59:32
990041,7,2019-05-28 14:59:35
990052,7,2019-05-28 15:00:45
990043,3,2019-05-28 15:08:49
990036,3,2019-05-28 15:22:53
990047,0,2019-05-28 15:30:21
990031,5,2019-05-28 15:42:42
990054,8,2019-05-28 15:42:58
990033,4,2019-05-28 15:50:34
990010,4,2019-05-28 15:50:34
990030,4,2019-05-28 15:50:34
990031,10,2019-05-28 15:57:57
990040,10,2019-05-28 15:57:57
990023,10,2019-05-28 15:57:57
990022,10,2019-05-28 15:57:57
990040,3,2019-05-28 15:59:05
990041,10,2019-05-28 16:01:33
990024,10,2019-05-28 16:01:33
990044,7,2019-05-28 16:05:02
990043,7,2019-05-28 16:07:01
990052,1,2019-05-28 16:07:01
990032,1,2019-05-28 16:07:01
990020,1,2019-05-28 16:07:01
990005,10,2019-05-28 16:20:29
990042,10,2019-05-28 16:20:29
990044,0,2019-05-28 16:30:03
990011,7,2019-05-28 16:41:43
990015,7,2019-05-28 16:42:56
990054,7,2019-05-28 16:47:30
990049,0,2019-05-28 16:48:38
990052,9,2019-05-28 17:01:29
990045,7,2019-05-28 17:02:48
990045,3,2019-05-28 17:15:46
990032,9,2019-05-28 17:20:33
990012,7,2019-05-28 17:21:54
990046,1,2019-05-28 17:21:54
990011,1,2019-05-28 17:21:54
990013,1,2019-05-28 17:21:54
990012,1,2019-05-28 17:21:54
990036,1,2019-05-28 17:21:54
990009,1,2019-05-28 17:21:54
990054,7,2019-05-28 17:22:26
990042,3,2019-05-28 17:25:06
990036,9,2019-05-28 17:39:06
990055,8,2019-05-28 17:45:43
990018,4,2019-05-28 17:52:39
990038,4,2019-05-28 17:52:39
990014,4,2019-05-28 17:52:39
990027,4,2019-05-28 17:52:39
990048,0,2019-05-28 18:21:13
990056,8,2019-05-28 19:56:44
990015,4,2019-05-28 20:08:20
990048,7,2019-05-28 21:11:54
990057,8,2019-05-28 23:33:03
990046,0,2019-05-29 08:30:54
990044,7,2019-05-29 08:41:50
990031,4,2019-05-29 09:08:16
990040,4,2019-05-29 09:08:16
990023,4,2019-05-29 09:08:16
990022,4,2019-05-29 09:08:16
990056,7,2019-05-29 09:14:08
990043,9,2019-05-29 09:26:30
990032,7,2019-05-29 09:29:48
990058,8,2019-05-29 09:31:14
990016,4,2019-05-29 09:50:36
990006,4,2019-05-29 09:50:36
990057,7,2019-05-29 09:55:35
990041,4,2019-05-29 09:58:19
990024,4,2019-05-29 09:58:19
990054,0,2019-05-29 10:08:32
990048,5,2019-05-29 10:23:08
990055,0,2019-05-29 10:27:42
990048,7,2019-05-29 10:34:41
990017,5,2019-05-29 10:35:55
990013,5,2019-05-29 11:06:49
990055,7,2019-05-29 11:08:36
990039,9,2019-05-29 11:09:08
990052,7,2019-05-29 11:09:24
990058,7,2019-05-29 11:09:29
990057,0,2019-05-29 11:09:46
990041,7,2019-05-29 11:09:54
990050,7,2019-05-29 11:18:17
990045,1,2019-05-29 11:18:17
990034,1,2019-05-29 11:18:17
990021,1,2019-05-29 11:18:17
990059,8,2019-05-29 11:22:16
990057,7,2019-05-29 11:47:12
990049,3,2019-05-29 11:48:21
990058,0,2019-05-29 11:49:55
990053,7,2019-05-29 11:58:49
990005,4,2019-05-29 12:01:39
990042,4,2019-05-29 12:01:39
990035,7,2019-05-29 12:11:16
990036,7,2019-05-29 12:13:25
990047,3,2019-05-29 12:26:33
990056,7,2019-05-29 12:28:53
990060,8,2019-05-29 13:04:19
990047,7,2019-05-29 13:09:28
990056,7,2019-05-29 13:27:05
990060,7,2019-05-29 13:34:57
990052,7,2019-05-29 13:59:21
990025,1,2019-05-29 13:59:21
990029,9,2019-05-29 13:59:41
990038,0,2019-05-29 14:04:13
990047,3,2019-05-29 14:06:25
990021,3,2019-05-29 14:23:06
990061,8,2019-05-29 14:28:25
990046,10,2019-05-29 14:30:00
990011,10,2019-05-29 14:30:00
990013,10,2019-05-29 14:30:00
990012,10,2019-05-29 14:30:00
990036,10,2019-05-29 14:30:00
990009,10,2019-05-29 14:30:00
990055,3,2019-05-29 15:09:10
990052,7,2019-05-29 15:17:24
990056,0,2019-05-29 15:23:52
990052,0,2019-05-29 15:28:13
990054,7,2019-05-29 15:38:06
990007,1,2019-05-29 15:38:06
990026,1,2019-05-29 15:38:06
990050,7,2019-05-29 15:42:37
990055,3,2019-05-29 15:44:58
990044,3,2019-05-29 15:52:18
990051,0,2019-05-29 15:52:29
990055,9,2019-05-29 15:52:50
990047,5,2019-05-29 16:05:52
990061,7,2019-05-29 16:11:56
990046,4,2019-05-29 16:14:22
990011,4,2019-05-29 16:14:22
990013,4,2019-05-29 16:14:22
990012,4,2019-05-29 16:14:22
990036,4,2019-05-29 16:14:22
990009,4,2019-05-29 16:14:22
990051,7,2019-05-29 16:14:28
990050,0,2019-05-29 16:14:33
990036,7,2019-05-29 16:14:37
990003,1,2019-05-29 16:14:37
990028,1,2019-05-29 16:14:37
990008,1,2019-05-29 16:14:37
990052,10,2019-05-29 16:16:17
990032,10,2019-05-29 16:16:17
990020,10,2019-05-29 16:16:17
990062,8,2019-05-29 16:16:38
990053,0,2019-05-29 16:29:38
990050,3,2019-05-29 16:38:05
990055,7,2019-05-29 16:40:58
990061,7,2019-05-29 17:03:10
990054,7,2019-05-29 17:22:08
990040,9,2019-05-29 17:29:15
990051,7,2019-05-29 17:38:50
990029,1,2019-05-29 17:38:50
990048,7,2019-05-29 17:48:04
990044,5,2019-05-29 17:50:05
990063,8,2019-05-29 17:53:03
990029,7,2019-05-29 18:01:12
990053,1,2019-05-29 18:01:12
990035,1,2019-05-29 18:01:12
990050,1,2019-05-29 18:01:12
990062,7,2019-05-29 19:03:54
990025,10,2019-05-29 19:08:32
990061,3,2019-05-29 19:08:54
990045,10,2019-05-29 19:29:05
990034,10,2019-05-29 19:29:05
990021,10,2019-05-29 19:29:05
990053,10,2019-05-29 19:32:41
990035,10,2019-05-29 19:32:41
990050,10,2019-05-29 19:32:41
990024,5,2019-05-29 19:51:41
990052,4,2019-05-29 20:01:33
990032,4,2019-05-29 20:01:33
990020,4,2019-05-29 20:01:33
990064,8,2019-05-29 20:18:44
990048,9,2019-05-29 21:12:50
990062,0,2019-05-29 21:19:02
990064,7,2019-05-29 22:06:14
990065,8,2019-05-29 23:17:03
990016,1,2019-05-30 01:00:00
990056,1,2019-05-30 01:00:00
990061,1,2019-05-30 01:00:00
990060,1,2019-05-30 01:00:00
990048,1,2019-05-30 01:00:00
990015,5,2019-05-30 09:05:10
990066,8,2019-05-30 09:12:02
990060,0,2019-05-30 09:16:40
990061,9,2019-05-30 09:31:21
990049,5,2019-05-30 09:32:50
990044,9,2019-05-30 09:37:04
990059,0,2019-05-30 09:38:47
990034,7,2019-05-30 09:43:40
990060,7,2019-05-30 09:45:08
990066,7,2019-05-30 09:49:01
990007,10,2019-05-30 10:10:22
990026,10,2019-05-30 10:10:22
990058,5,2019-05-30 10:13:37
990054,5,2019-05-30 10:15:05
990003,10,2019-05-30 10:19:45
990028,10,2019-05-30 10:19:45
990008,10,2019-05-30 10:19:45
990045,4,2019-05-30 10:34:44
990034,4,2019-05-30 10:34:44
990021,4,2019-05-30 10:34:44
990066,3,2019-05-30 10:38:31
990067,8,2019-05-30 10:43:52
990044,7,2019-05-30 10:45:36
990044,9,2019-05-30 10:55:02
990047,9,2019-05-30 11:09:54
990062,7,2019-05-30 11:19:57
990041,9,2019-05-30 11:38:50
990066,7,2019-05-30 11:57:08
990007,4,2019-05-30 12:02:46
990026,4,2019-05-30 12:02:46
990067,7,2019-05-30 12:07:51
990064,3,2019-05-30 12:17:23
990042,9,2019-05-30 12:21:28
990010,7,2019-05-30 12:41:03
990068,8,2019-05-30 12:47:31
990063,0,2019-05-30 12:51:13
990035,7,2019-05-30 12:51:51
990036,7,2019-05-30 12:51:52
990043,7,2019-05-30 12:51:54
990063,3,2019-05-30 12:55:12
990062,3,2019-05-30 12:57:07
990059,3,2019-05-30 13:08:25
990053,2,2019-05-30 13:16:22
990035,2,2019-05-30 13:16:22
990050,2,2019-05-30 13:16:22
990029,10,2019-05-30 13:17:32
990034,9,2019-05-30 13:20:26
990067,7,2019-05-30 13:25:59
990067,7,2019-05-30 13:56:47
990068,0,2019-05-30 14:01:50
990037,3,2019-05-30 14:11:54
990050,7,2019-05-30 14:21:46
990029,0,2019-05-30 14:31:12
990016,10,2019-05-30 14:38:24
990056,10,2019-05-30 14:38:24
990061,10,2019-05-30 14:38:24
990060,10,2019-05-30 14:38:24
990048,10,2019-05-30 14:38:24
990065,0,2019-05-30 14:38:58
990025,4,2019-05-30 14:50:42
990069,8,2019-05-30 14:54:49
990047,9,2019-05-30 15:00:58
990068,3,2019-05-30 15:10:23
990065,7,2019-05-30 15:19:44
990029,4,2019-05-30 15:42:57
990055,5,2019-05-30 15:51:02
990027,7,2019-05-30 15:56:05
990044,1,2019-05-30 15:56:05
990015,1,2019-05-30 15:56:05
990044,9,2019-05-30 15:56:27
990067,7,2019-05-30 16:10:39
990057,5,2019-05-30 16:16:54
990053,4,2019-05-30 16:23:46
990035,4,2019-05-30 16:23:46
990050,4,2019-05-30 16:23:46
990049,9,2019-05-30 16:27:53
990067,7,2019-05-30 16:31:52
990016,2,2019-05-30 16:34:12
990056,2,2019-05-30 16:34:12
990061,2,2019-05-30 16:34:12
990060,2,2019-05-30 16:34:12
990048,2,2019-05-30 16:34:12
990021,9,2019-05-30 16:47:55
990058,7,2019-05-30 16:47:58
990069,7,2019-05-30 16:49:57
990064,0,2019-05-30 16:54:53
990050,9,2019-05-30 17:07:45
990070,8,2019-05-30 17:09:26
990067,7,2019-05-30 17:22:02
990059,7,2019-05-30 17:24:24
990063,9,2019-05-30 17:34:42
990048,7,2019-05-30 17:36:37
990010,1,2019-05-30 17:36:37
990047,1,2019-05-30 17:36:37
990043,1,2019-05-30 17:36:37
990056,7,2019-05-30 17:45:42
990049,7,2019-05-30 18:06:33
990069,7,2019-05-30 18:17:00
990071,8,2019-05-30 18:38:39
990068,7,2019-05-30 18:55:46
990009,7,2019-05-30 19:28:01
990071,7,2019-05-30 20:10:16
990058,1,2019-05-30 20:10:16
990049,1,2019-05-30 20:10:16
990067,0,2019-05-30 20:52:38
990029,5,2019-05-30 20:54:23
990072,8,2019-05-30 21:35:32
990073,8,2019-05-31 05:51:06
990064,7,2019-05-31 08:19:07
990073,7,2019-05-31 08:51:28
990073,7,2019-05-31 08:52:10
990041,7,2019-05-31 09:09:49
990069,7,2019-05-31 09:59:47
990065,1,2019-05-31 09:59:47
990042,1,2019-05-31 09:59:47
990066,0,2019-05-31 10:22:31
990074,8,2019-05-31 10:28:00
990016,2,2019-05-31 10:30:10
990056,2,2019-05-31 10:30:10
990061,2,2019-05-31 10:30:10
990060,2,2019-05-31 10:30:10
990048,2,2019-05-31 10:30:10
990074,0,2019-05-31 10:51:25
990063,7,2019-05-31 10:51:31
990055,9,2019-05-31 10:54:36
990025,7,2019-05-31 10:56:50
990003,4,2019-05-31 11:00:07
990028,4,2019-05-31 11:00:07
990008,4,2019-05-31 11:00:07
990066,7,2019-05-31 11:02:37
990041,1,2019-05-31 11:02:37
990056,3,2019-05-31 11:18:27
990046,9,2019-05-31 11:22:02
990064,7,2019-05-31 11:44:29
990044,10,2019-05-31 12:07:26
990015,10,2019-05-31 12:07:26
990075,8,2019-05-31 12:15:47
990069,7,2019-05-31 12:26:27
990075,7,2019-05-31 12:36:18
990052,1,2019-05-31 12:36:18
990032,1,2019-05-31 12:36:18
990071,1,2019-05-31 12:36:18
990054,1,2019-05-31 12:36:18
990058,10,2019-05-31 12:37:28
990049,10,2019-05-31 12:37:28
990055,7,2019-05-31 12:39:07
990044,4,2019-05-31 12:59:10
990015,4,2019-05-31 12:59:10
990065,10,2019-05-31 13:02:49
990042,10,2019-05-31 13:02:49
990067,3,2019-05-31 13:22:56
990070,3,2019-05-31 13:24:44
990041,10,2019-05-31 13:32:02
990061,0,2019-05-31 13:38:24
990076,8,2019-05-31 13:51:22
990070,0,2019-05-31 13:54:42
990070,7,2019-05-31 14:53:22
990020,5,2019-05-31 14:55:51
990016,2,2019-05-31 14:58:13
990056,2,2019-05-31 14:58:13
990061,2,2019-05-31 14:58:13
990060,2,2019-05-31 14:58:13
990048,2,2019-05-31 14:58:13
990041,4,2019-05-31 15:13:21
990056,5,2019-05-31 15:34:57
990025,5,2019-05-31 15:35:49
990030,7,2019-05-31 15:48:28
990045,9,2019-05-31 15:56:59
990077,8,2019-05-31 16:02:31
990067,9,2019-05-31 16:04:52
990077,7,2019-05-31 16:09:02
990016,4,2019-05-31 16:18:19
990056,4,2019-05-31 16:18:19
990061,4,2019-05-31 16:18:19
990060,4,2019-05-31 16:18:19
990048,4,2019-05-31 16:18:19
990077,0,2019-05-31 16:28:32
990066,7,2019-05-31 16:36:00
990073,7,2019-05-31 16:47:57
990072,3,2019-05-31 16:53:38
990067,3,2019-05-31 17:13:03
990078,8,2019-05-31 17:24:50
990073,7,2019-05-31 17:25:32
990072,0,2019-05-31 17:26:51
990067,9,2019-05-31 17:36:35
990034,7,2019-05-31 17:59:58
990071,0,2019-05-31 18:35:12
990076,0,2019-05-31 18:38:01
990076,7,2019-05-31 19:05:24
990057,1,2019-05-31 19:05:24
990070,1,2019-05-31 19:05:24
990036,1,2019-05-31 19:05:24
990009,1,2019-05-31 19:05:24
990079,8,2019-05-31 19:09:27
990069,0,2019-05-31 19:40:05
990079,7,2019-05-31 20:38:22
990065,4,2019-05-31 20:47:49
990042,4,2019-05-31 20:47:49
990070,5,2019-05-31 21:00:56
990006,5,2019-05-31 21:05:52
990060,3,2019-05-31 21:21:19
990076,3,2019-05-31 21:50:08
990080,8,2019-05-31 21:58:29
990081,8,2019-06-01 15:50:48
990082,8,2019-06-02 16:35:30
