,Case_ID,Activity,Timestamp,Items,Customers,Orders
39,660013,H,2019-05-29 14:30:00,"['880180', '880044', '880042', '880139', '880143', '880039', '880034', '880052', '880179', '880140', '880037', '880046']",b,"['990046', '990011', '990013', '990012', '990036', '990009']"
40,660013,J,2019-05-29 16:14:22,"['880180', '880044', '880042', '880139', '880143', '880039', '880034', '880052', '880179', '880140', '880037', '880046']",b,"['990046', '990011', '990013', '990012', '990036', '990009']"
41,660014,G,2019-05-29 11:18:17,"['880175', '880082', '880133', '880134', '880083', '880131', '880084', '880085', '880087']",k,"['990045', '990034', '990021']"
42,660014,H,2019-05-29 19:29:05,"['880175', '880082', '880133', '880134', '880083', '880131', '880084', '880085', '880087']",k,"['990045', '990034', '990021']"
43,660014,J,2019-05-30 10:34:44,"['880175', '880082', '880133', '880134', '880083', '880131', '880084', '880085', '880087']",k,"['990045', '990034', '990021']"
44,660015,G,2019-05-29 13:59:21,"['880097', '880100']",a,['990025']
45,660015,H,2019-05-29 19:08:32,"['880097', '880100']",a,['990025']
46,660015,J,2019-05-30 14:50:42,"['880097', '880100']",a,['990025']
47,660016,G,2019-05-29 15:38:06,"['880021', '880107', '880105', '880104']",d,"['990007', '990026']"
48,660016,H,2019-05-30 10:10:22,"['880021', '880107', '880105', '880104']",d,"['990007', '990026']"
49,660016,J,2019-05-30 12:02:46,"['880021', '880107', '880105', '880104']",d,"['990007', '990026']"
50,660017,G,2019-05-29 16:14:37,"['880027', '880114', '880009', '880112']",c,"['990003', '990028', '990008']"
51,660017,H,2019-05-30 10:19:45,"['880027', '880114', '880009', '880112']",c,"['990003', '990028', '990008']"
52,660017,J,2019-05-31 11:00:07,"['880027', '880114', '880009', '880112']",c,"['990003', '990028', '990008']"
53,660018,G,2019-05-29 17:38:50,"['880115', '880117']",n,['990029']
54,660018,H,2019-05-30 13:17:32,"['880115', '880117']",n,['990029']
55,660018,J,2019-05-30 15:42:57,"['880115', '880117']",n,['990029']
56,660019,G,2019-05-29 18:01:12,"['880136', '880138', '880137', '880205', '880206', '880197', '880195']",o,"['990053', '990035', '990050']"
57,660019,H,2019-05-29 19:32:41,"['880136', '880138', '880137', '880205', '880206', '880197', '880195']",o,"['990053', '990035', '990050']"
58,660019,I,2019-05-30 13:16:22,"['880136', '880138', '880137', '880205', '880206', '880197', '880195']",o,"['990053', '990035', '990050']"
59,660019,J,2019-05-30 16:23:46,"['880136', '880138', '880137', '880205', '880206', '880197', '880195']",o,"['990053', '990035', '990050']"
60,660020,G,2019-05-30 01:00:00,"['880186', '880187', '880066', '880233', '880188', '880229', '880219', '880220', '880218', '880232', '880190']",f,"['990016', '990056', '990061', '990060', '990048']"
61,660020,H,2019-05-30 14:38:24,"['880186', '880187', '880066', '880233', '880188', '880229', '880219', '880220', '880218', '880232', '880190']",f,"['990016', '990056', '990061', '990060', '990048']"
62,660020,I,2019-05-30 16:34:12,"['880186', '880187', '880066', '880233', '880188', '880229', '880219', '880220', '880218', '880232', '880190']",f,"['990016', '990056', '990061', '990060', '990048']"
63,660020,I,2019-05-31 10:30:10,"['880186', '880187', '880066', '880233', '880188', '880229', '880219', '880220', '880218', '880232', '880190']",f,"['990016', '990056', '990061', '990060', '990048']"
64,660020,I,2019-05-31 14:58:13,"['880186', '880187', '880066', '880233', '880188', '880229', '880219', '880220', '880218', '880232', '880190']",f,"['990016', '990056', '990061', '990060', '990048']"
65,660020,J,2019-05-31 16:18:19,"['880186', '880187', '880066', '880233', '880188', '880229', '880219', '880220', '880218', '880232', '880190']",f,"['990016', '990056', '990061', '990060', '990048']"
66,660021,G,2019-05-30 15:56:05,"['880060', '880168', '880172', '880170', '880174', '880061', '880173']",i,"['990044', '990015']"
67,660021,H,2019-05-31 12:07:26,"['880060', '880168', '880172', '880170', '880174', '880061', '880173']",i,"['990044', '990015']"
68,660021,J,2019-05-31 12:59:10,"['880060', '880168', '880172', '880170', '880174', '880061', '880173']",i,"['990044', '990015']"
69,660022,G,2019-05-30 17:36:37,"['880164', '880165', '880035', '880166', '880183', '880184']",g,"['990010', '990047', '990043']"
70,660022,H,2019-06-03 11:23:31,"['880164', '880165', '880035', '880166', '880183', '880184']",g,"['990010', '990047', '990043']"
71,660022,J,2019-06-03 16:37:21,"['880164', '880165', '880035', '880166', '880183', '880184']",g,"['990010', '990047', '990043']"
72,660023,G,2019-05-30 20:10:16,"['880193', '880192', '880223', '880224', '880191']",p,"['990058', '990049']"
73,660023,H,2019-05-31 12:37:28,"['880193', '880192', '880223', '880224', '880191']",p,"['990058', '990049']"
74,660023,J,2019-06-03 09:14:37,"['880193', '880192', '880223', '880224', '880191']",p,"['990058', '990049']"
75,660024,G,2019-05-31 09:59:47,"['880246', '880163', '880160']",e,"['990065', '990042']"
76,660024,H,2019-05-31 13:02:49,"['880246', '880163', '880160']",e,"['990065', '990042']"
77,660024,J,2019-05-31 20:47:49,"['880246', '880163', '880160']",e,"['990065', '990042']"
78,660025,G,2019-05-31 11:02:37,"['880152', '880151', '880153']",m,['990041']
79,660025,H,2019-05-31 13:32:02,"['880152', '880151', '880153']",m,['990041']
80,660025,J,2019-05-31 15:13:21,"['880152', '880151', '880153']",m,['990041']
81,660026,G,2019-05-31 12:36:18,"['880204', '880203', '880207', '880209', '880126', '880208', '880276', '880210', '880201']",j,"['990052', '990032', '990071', '990054']"
82,660026,H,2019-06-03 14:44:40,"['880204', '880203', '880207', '880209', '880126', '880208', '880276', '880210', '880201']",j,"['990052', '990032', '990071', '990054']"
83,660026,J,2019-06-04 12:49:08,"['880204', '880203', '880207', '880209', '880126', '880208', '880276', '880210', '880201']",j,"['990052', '990032', '990071', '990054']"
84,660027,G,2019-05-31 19:05:24,"['880144', '880272', '880221', '880141', '880029', '880222', '880142']",b,"['990057', '990070', '990036', '990009']"
85,660027,H,2019-06-03 14:07:59,"['880144', '880272', '880221', '880141', '880029', '880222', '880142']",b,"['990057', '990070', '990036', '990009']"
86,660027,J,2019-06-04 10:32:16,"['880144', '880272', '880221', '880141', '880029', '880222', '880142']",b,"['990057', '990070', '990036', '990009']"
87,660028,G,2019-06-03 10:42:52,"['880212', '880235', '880214', '880199', '880236', '880213', '880200']",q,"['990051', '990055', '990062']"
88,660028,H,2019-06-03 21:34:51,"['880212', '880235', '880214', '880199', '880236', '880213', '880200']",q,"['990051', '990055', '990062']"
89,660028,J,2019-06-05 09:57:32,"['880212', '880235', '880214', '880199', '880236', '880213', '880200']",q,"['990051', '990055', '990062']"
90,660029,G,2019-06-03 13:21:46,"['880258', '880255', '880116', '880254', '880253', '880257', '880252']",n,"['990067', '990029']"
91,660029,H,2019-06-03 15:15:53,"['880258', '880255', '880116', '880254', '880253', '880257', '880252']",n,"['990067', '990029']"
92,660029,J,2019-06-04 09:55:18,"['880258', '880255', '880116', '880254', '880253', '880257', '880252']",n,"['990067', '990029']"
93,660030,G,2019-06-03 16:22:21,"['880239', '880240', '880244', '880111']",h,"['990064', '990027']"
94,660030,H,2019-06-04 11:28:14,"['880239', '880240', '880244', '880111']",h,"['990064', '990027']"
95,660030,J,2019-06-05 14:32:48,"['880239', '880240', '880244', '880111']",h,"['990064', '990027']"
96,660031,G,2019-06-03 18:10:26,"['880321', '880130', '880319', '880132']",k,"['990082', '990034']"
97,660031,H,2019-06-05 09:11:11,"['880321', '880130', '880319', '880132']",k,"['990082', '990034']"
98,660031,I,2019-06-05 13:53:34,"['880321', '880130', '880319', '880132']",k,"['990082', '990034']"
99,660031,J,2019-06-05 15:58:13,"['880321', '880130', '880319', '880132']",k,"['990082', '990034']"
100,660032,G,2019-06-03 19:30:05,"['880217', '880237', '880306', '880307', '880227', '880185']",f,"['990060', '990079', '990063', '990048', '990056']"
101,660032,H,2019-06-04 11:31:54,"['880217', '880237', '880306', '880307', '880227', '880185']",f,"['990060', '990079', '990063', '990048', '990056']"
102,660032,J,2019-06-04 15:39:23,"['880217', '880237', '880306', '880307', '880227', '880185']",f,"['990060', '990079', '990063', '990048', '990056']"
103,660033,G,2019-06-04 01:00:00,"['880250', '880248', '880249', '880093', '880251']",l,"['990066', '990023']"
104,660033,H,2019-06-04 11:15:46,"['880250', '880248', '880249', '880093', '880251']",l,"['990066', '990023']"
105,660033,J,2019-06-05 09:41:01,"['880250', '880248', '880249', '880093', '880251']",l,"['990066', '990023']"
106,660034,G,2019-06-04 10:21:54,"['880300', '880294', '880295', '880135', '880296', '880298', '880299', '880196', '880293']",o,"['990035', '990077', '990076', '990050']"
107,660034,H,2019-06-04 11:24:58,"['880300', '880294', '880295', '880135', '880296', '880298', '880299', '880196', '880293']",o,"['990035', '990077', '990076', '990050']"
108,660034,J,2019-06-04 15:56:37,"['880300', '880294', '880295', '880135', '880296', '880298', '880299', '880196', '880293']",o,"['990035', '990077', '990076', '990050']"
109,660035,G,2019-06-04 12:25:02,"['880268', '880226', '880270', '880265', '880269', '880267']",i,"['990059', '990069']"
110,660035,H,2019-06-04 15:18:56,"['880268', '880226', '880270', '880265', '880269', '880267']",i,"['990059', '990069']"
111,660035,J,2019-06-05 12:18:00,"['880268', '880226', '880270', '880265', '880269', '880267']",i,"['990059', '990069']"
112,660036,G,2019-06-04 15:15:34,"['880288', '880102', '880287', '880261']",a,"['990068', '990025', '990075']"
113,660036,H,2019-06-04 18:00:57,"['880288', '880102', '880287', '880261']",a,"['990068', '990025', '990075']"
114,660036,J,2019-06-05 15:51:44,"['880288', '880102', '880287', '880261']",a,"['990068', '990025', '990075']"
115,660037,G,2019-06-04 16:01:06,"['880304', '880325', '880301', '880281', '880280', '880282', '880302', '880283', '880324']",d,"['990073', '990078', '990083']"
116,660037,H,2019-06-04 16:54:41,"['880304', '880325', '880301', '880281', '880280', '880282', '880302', '880283', '880324']",d,"['990073', '990078', '990083']"
117,660037,J,2019-06-05 18:15:29,"['880304', '880325', '880301', '880281', '880280', '880282', '880302', '880283', '880324']",d,"['990073', '990078', '990083']"
118,660038,G,2019-06-04 19:51:21,"['880315', '880181', '880317', '880119', '880316']",g,"['990081', '990030', '990047']"
119,660038,H,2019-06-05 11:11:34,"['880315', '880181', '880317', '880119', '880316']",g,"['990081', '990030', '990047']"
120,660038,J,2019-06-05 13:23:11,"['880315', '880181', '880317', '880119', '880316']",g,"['990081', '990030', '990047']"
121,660039,G,2019-06-05 09:43:33,"['880045', '880178', '880340', '880342', '880284']",b,"['990046', '990074', '990086', '990012']"
122,660039,H,2019-06-05 15:08:57,"['880045', '880178', '880340', '880342', '880284']",b,"['990046', '990074', '990086', '990012']"
123,660039,I,2019-06-05 16:25:21,"['880045', '880178', '880340', '880342', '880284']",b,"['990046', '990074', '990086', '990012']"
124,660039,J,2019-06-05 21:36:36,"['880045', '880178', '880340', '880342', '880284']",b,"['990046', '990074', '990086', '990012']"
125,660040,G,2019-06-05 10:43:20,"['880279', '880311', '880312', '880313']",c,"['990080', '990072']"
126,660040,H,2019-06-05 16:40:17,"['880279', '880311', '880312', '880313']",c,"['990080', '990072']"
127,660040,J,2019-06-06 17:28:01,"['880279', '880311', '880312', '880313']",c,"['990080', '990072']"
128,660041,G,2019-06-05 11:11:42,"['880350', '880348', '880245', '880349', '880345', '880351', '880157', '880353', '880346']",e,"['990065', '990087', '990042', '990088']"
129,660041,H,2019-06-05 19:31:37,"['880350', '880348', '880245', '880349', '880345', '880351', '880157', '880353', '880346']",e,"['990065', '990087', '990042', '990088']"
130,660041,J,2019-06-06 20:46:27,"['880350', '880348', '880245', '880349', '880345', '880351', '880157', '880353', '880346']",e,"['990065', '990087', '990042', '990088']"
131,660042,G,2019-06-05 13:57:20,"['880147', '880124', '880274', '880127']",j,"['990071', '990032', '990039']"
132,660042,H,2019-06-05 16:32:10,"['880147', '880124', '880274', '880127']",j,"['990071', '990032', '990039']"
133,660042,J,2019-06-05 16:43:25,"['880147', '880124', '880274', '880127']",j,"['990071', '990032', '990039']"
134,660043,G,2019-06-05 15:22:57,"['880260', '880331', '880335', '880330', '880328', '880256', '880329', '880333']",n,"['990067', '990084']"
135,660043,H,2019-06-05 19:41:18,"['880260', '880331', '880335', '880330', '880328', '880256', '880329', '880333']",n,"['990067', '990084']"
136,660043,J,2019-06-06 10:51:45,"['880260', '880331', '880335', '880330', '880328', '880256', '880329', '880333']",n,"['990067', '990084']"
137,660044,G,2019-06-05 16:31:53,"['880243', '880358', '880055', '880241']",h,"['990090', '990064', '990014']"
138,660044,H,2019-06-06 12:40:22,"['880243', '880358', '880055', '880241']",h,"['990090', '990064', '990014']"
139,660044,J,2019-06-07 10:46:15,"['880243', '880358', '880055', '880241']",h,"['990090', '990064', '990014']"
140,660045,G,2019-06-06 08:37:01,"['880189', '880310', '880238', '880231']",f,"['990061', '990079', '990048', '990063']"
141,660045,H,2019-06-06 10:19:20,"['880189', '880310', '880238', '880231']",f,"['990061', '990079', '990048', '990063']"
142,660045,I,2019-06-06 14:24:19,"['880189', '880310', '880238', '880231']",f,"['990061', '990079', '990048', '990063']"
143,660045,J,2019-06-07 16:10:36,"['880189', '880310', '880238', '880231']",f,"['990061', '990079', '990048', '990063']"
144,660046,G,2019-06-06 10:21:38,"['880369', '880177', '880368', '880371', '880318', '880370', '880320', '880086', '880322']",k,"['990045', '990093', '990021', '990082']"
145,660046,H,2019-06-06 10:56:40,"['880369', '880177', '880368', '880371', '880318', '880370', '880320', '880086', '880322']",k,"['990045', '990093', '990021', '990082']"
146,660046,J,2019-06-06 15:45:51,"['880369', '880177', '880368', '880371', '880318', '880370', '880320', '880086', '880322']",k,"['990045', '990093', '990021', '990082']"
147,660047,G,2019-06-06 14:08:08,"['880356', '880355', '880215', '880354']",q,"['990055', '990089']"
148,660047,H,2019-06-06 14:51:30,"['880356', '880355', '880215', '880354']",q,"['990055', '990089']"
149,660047,J,2019-06-06 16:31:50,"['880356', '880355', '880215', '880354']",q,"['990055', '990089']"
150,660048,G,2019-06-06 14:37:28,"['880388', '880386', '880361', '880384', '880416', '880364', '880387', '880411']",l,"['990097', '990091', '990102']"
151,660048,H,2019-06-07 09:23:31,"['880388', '880386', '880361', '880384', '880416', '880364', '880387', '880411']",l,"['990097', '990091', '990102']"
152,660048,I,2019-06-07 12:36:38,"['880388', '880386', '880361', '880384', '880416', '880364', '880387', '880411']",l,"['990097', '990091', '990102']"
153,660048,J,2019-06-10 09:47:58,"['880388', '880386', '880361', '880384', '880416', '880364', '880387', '880411']",l,"['990097', '990091', '990102']"
154,660049,G,2019-06-06 16:20:03,"['880286', '880394', '880263', '880392', '880379', '880378', '880393', '880376', '880377', '880396', '880001', '880390', '880262', '880391', '880264']",a,"['990001', '990095', '990098', '990068', '990075']"
155,660049,H,2019-06-07 10:00:10,"['880286', '880394', '880263', '880392', '880379', '880378', '880393', '880376', '880377', '880396', '880001', '880390', '880262', '880391', '880264']",a,"['990001', '990095', '990098', '990068', '990075']"
156,660049,J,2019-06-07 14:04:28,"['880286', '880394', '880263', '880392', '880379', '880378', '880393', '880376', '880377', '880396', '880001', '880390', '880262', '880391', '880264']",a,"['990001', '990095', '990098', '990068', '990075']"
157,660050,G,2019-06-07 10:54:38,"['880428', '880266', '880271']",i,"['990106', '990069']"
158,660050,H,2019-06-07 16:59:06,"['880428', '880266', '880271']",i,"['990106', '990069']"
159,660050,J,2019-06-11 11:37:05,"['880428', '880266', '880271']",i,"['990106', '990069']"
160,660051,G,2019-06-07 11:36:06,"['880365', '880425', '880383', '880382', '880366', '880367']",p,"['990096', '990092', '990105']"
161,660051,H,2019-06-10 10:12:01,"['880365', '880425', '880383', '880382', '880366', '880367']",p,"['990096', '990092', '990105']"
162,660051,J,2019-06-10 10:36:42,"['880365', '880425', '880383', '880382', '880366', '880367']",p,"['990096', '990092', '990105']"
163,660052,G,2019-06-07 13:43:45,"['880372', '880375', '880303', '880373', '880374', '880108']",d,"['990094', '990078', '990026']"
164,660052,H,2019-06-10 16:57:21,"['880372', '880375', '880303', '880373', '880374', '880108']",d,"['990094', '990078', '990026']"
165,660052,J,2019-06-11 10:57:37,"['880372', '880375', '880303', '880373', '880374', '880108']",d,"['990094', '990078', '990026']"
166,660053,G,2019-06-07 16:35:21,"['880469', '880273']",b,"['990115', '990070']"
167,660053,H,2019-06-10 10:48:29,"['880469', '880273']",b,"['990115', '990070']"
168,660053,J,2019-06-11 11:11:03,"['880469', '880273']",b,"['990115', '990070']"
169,660054,G,2019-06-07 16:49:07,"['880155', '880434', '880433', '880419', '880445', '880436', '880421', '880437']",m,"['990104', '990041', '990110', '990107']"
170,660054,H,2019-06-07 19:16:45,"['880155', '880434', '880433', '880419', '880445', '880436', '880421', '880437']",m,"['990104', '990041', '990110', '990107']"
171,660054,J,2019-06-11 09:48:47,"['880155', '880434', '880433', '880419', '880445', '880436', '880421', '880437']",m,"['990104', '990041', '990110', '990107']"
172,660055,G,2019-06-07 21:54:37,['880314'],g,['990081']
173,660055,H,2019-06-10 12:23:57,['880314'],g,['990081']
174,660055,J,2019-06-11 10:59:30,['880314'],g,['990081']
175,660056,G,2019-06-09 01:00:00,"['880343', '880449', '880347', '880450', '880454', '880455', '880352', '880344']",e,"['990111', '990087']"
176,660056,H,2019-06-10 09:52:30,"['880343', '880449', '880347', '880450', '880454', '880455', '880352', '880344']",e,"['990111', '990087']"
177,660056,J,2019-06-10 18:45:14,"['880343', '880449', '880347', '880450', '880454', '880455', '880352', '880344']",e,"['990111', '990087']"
178,660057,G,2019-06-10 10:26:27,"['880409', '880406', '880327', '880334', '880405', '880326', '880407', '880404', '880403', '880466']",n,"['990101', '990084', '990100', '990114']"
179,660057,H,2019-06-10 17:11:29,"['880409', '880406', '880327', '880334', '880405', '880326', '880407', '880404', '880403', '880466']",n,"['990101', '990084', '990100', '990114']"
180,660057,J,2019-06-11 14:08:47,"['880409', '880406', '880327', '880334', '880405', '880326', '880407', '880404', '880403', '880466']",n,"['990101', '990084', '990100', '990114']"
181,660058,G,2019-06-10 13:38:05,"['880487', '880399', '880359', '880398', '880400', '880397']",h,"['990099', '990090', '990120']"
182,660058,H,2019-06-10 15:45:52,"['880487', '880399', '880359', '880398', '880400', '880397']",h,"['990099', '990090', '990120']"
183,660058,J,2019-06-10 18:23:07,"['880487', '880399', '880359', '880398', '880400', '880397']",h,"['990099', '990090', '990120']"
184,660059,G,2019-06-10 15:31:20,"['880230', '880337']",f,"['990085', '990061']"
185,660059,H,2019-06-11 19:30:29,"['880230', '880337']",f,"['990085', '990061']"
186,660059,J,2019-06-12 08:32:06,"['880230', '880337']",f,"['990085', '990061']"
187,660060,G,2019-06-10 16:01:39,"['880463', '880292', '880291', '880438', '880478', '880441', '880458', '880480', '880439', '880462', '880461', '880198', '880464', '880459', '880440']",o,"['990118', '990113', '990076', '990108', '990050']"
188,660060,H,2019-06-11 20:06:02,"['880463', '880292', '880291', '880438', '880478', '880441', '880458', '880480', '880439', '880462', '880461', '880198', '880464', '880459', '880440']",o,"['990118', '990113', '990076', '990108', '990050']"
189,660060,J,2019-06-12 09:24:21,"['880463', '880292', '880291', '880438', '880478', '880441', '880458', '880480', '880439', '880462', '880461', '880198', '880464', '880459', '880440']",o,"['990118', '990113', '990076', '990108', '990050']"
190,660061,G,2019-06-11 11:14:02,"['880494', '880277', '880492']",c,"['990122', '990072']"
191,660061,H,2019-06-12 10:08:01,"['880494', '880277', '880492']",c,"['990122', '990072']"
192,660061,J,2019-06-12 13:17:51,"['880494', '880277', '880492']",c,"['990122', '990072']"
193,660062,G,2019-06-11 11:57:25,"['880385', '880363', '880362', '880418', '880247', '880417', '880414', '880415', '880410', '880413']",l,"['990097', '990091', '990103', '990066', '990102']"
194,660062,H,2019-06-11 16:47:06,"['880385', '880363', '880362', '880418', '880247', '880417', '880414', '880415', '880410', '880413']",l,"['990097', '990091', '990103', '990066', '990102']"
195,660062,J,2019-06-12 16:19:07,"['880385', '880363', '880362', '880418', '880247', '880417', '880414', '880415', '880410', '880413']",l,"['990097', '990091', '990103', '990066', '990102']"
196,660063,G,2019-06-11 15:49:49,"['880508', '880234']",q,"['990127', '990062']"
197,660063,H,2019-06-12 10:54:41,"['880508', '880234']",q,"['990127', '990062']"
198,660063,J,2019-06-13 10:39:25,"['880508', '880234']",q,"['990127', '990062']"
199,660064,G,2019-06-11 16:17:39,"['880285', '880289', '880381', '880485', '880484']",a,"['990119', '990095', '990075']"
200,660064,H,2019-06-12 09:32:06,"['880285', '880289', '880381', '880485', '880484']",a,"['990119', '990095', '990075']"
201,660064,J,2019-06-12 11:50:09,"['880285', '880289', '880381', '880485', '880484']",a,"['990119', '990095', '990075']"
202,660065,G,2019-06-12 08:11:47,"['880512', '880513', '880426']",p,"['990105', '990128']"
203,660065,H,2019-06-12 08:24:07,"['880512', '880513', '880426']",p,"['990105', '990128']"
204,660065,J,2019-06-12 11:45:23,"['880512', '880513', '880426']",p,"['990105', '990128']"
205,660066,G,2019-06-12 09:46:21,"['880472', '880432', '880471', '880430', '880475', '880473', '880431', '880457', '880169', '880474']",i,"['990044', '990116', '990112', '990106']"
206,660066,H,2019-06-12 12:33:15,"['880472', '880432', '880471', '880430', '880475', '880473', '880431', '880457', '880169', '880474']",i,"['990044', '990116', '990112', '990106']"
207,660066,J,2019-06-13 11:59:50,"['880472', '880432', '880471', '880430', '880475', '880473', '880431', '880457', '880169', '880474']",i,"['990044', '990116', '990112', '990106']"
208,660067,G,2019-06-12 12:23:12,"['880470', '880468']",b,['990115']
209,660067,H,2019-06-12 16:28:05,"['880470', '880468']",b,['990115']
210,660067,J,2019-06-12 17:28:23,"['880470', '880468']",b,['990115']
211,660068,G,2019-06-12 12:33:07,"['880435', '880495', '880504', '880503', '880423', '880422', '880496', '880420', '880505', '880498']",m,"['990104', '990125', '990123', '990107']"
212,660068,H,2019-06-12 17:58:50,"['880435', '880495', '880504', '880503', '880423', '880422', '880496', '880420', '880505', '880498']",m,"['990104', '990125', '990123', '990107']"
213,660068,J,2019-06-12 21:23:49,"['880435', '880495', '880504', '880503', '880423', '880422', '880496', '880420', '880505', '880498']",m,"['990104', '990125', '990123', '990107']"
